what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1314019199701
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1314019199701
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1314019199701
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1314019199701
started,bundle,org.eclipse.jgit,1.0.0.201106090707-r,"org.eclipse.jgit",1314019199701
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1314019199701
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1314019199702
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1314019199702
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1314019199702
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1314019199702
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1314019199702
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1314019199702
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1314019199702
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1314019199702
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1314019199702
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1314019199702
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1314019199702
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1314019199702
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1314019199702
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1314019199702
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1314019199702
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1314019199702
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1314019199702
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1314019199702
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1314019199702
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1314019199702
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1314019199703
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1314019199703
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1314019199703
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1314019199703
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1314019199703
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1314019199703
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1314019199703
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1314019199703
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1314019199703
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1314019199703
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1314019199703
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1314019199703
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1314019199703
os,sysinfo,,,"win32",1314019199706
arch,sysinfo,,,"x86_64",1314019199706
ws,sysinfo,,,"win32",1314019199706
locale,sysinfo,,,"pt_BR",1314019199706
processors,sysinfo,,,"4",1314019199706
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1314019199706
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1314019199706
java.specification.name,sysinfo,,,"Java Platform API Specification",1314019199706
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314019199706
java.specification.version,sysinfo,,,"1.6",1314019199706
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1314019199706
java.version,sysinfo,,,"1.6.0_24",1314019199706
java.vm.info,sysinfo,,,"mixed mode",1314019199706
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1314019199706
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1314019199706
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314019199706
java.vm.specification.version,sysinfo,,,"1.0",1314019199706
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1314019199706
java.vm.version,sysinfo,,,"19.1-b02",1314019199706
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314019200690
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314019200739
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1314019200796
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.0.201106081058,"org.eclipse.cdt.managedbuilder.ui",1314019205744
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.1.201106060936,"org.eclipse.linuxtools.cdt.autotools.core",1314019206249
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.0.201106081058,"org.eclipse.cdt.managedbuilder.gnu.ui",1314019206272
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201106081058,"org.eclipse.cdt.build.crossgcc",1314019206567
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201106060936,"org.eclipse.linuxtools.cdt.autotools.ui",1314019206776
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314019206911
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1314019229938
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1314019230185
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201106081058,"org.eclipse.cdt.msw.build",1314019230207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314019233119
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314019248175
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314019381905
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314019384736
